sent_id_1,sent_id_2,text_1,text_2,score
20904,19278,sistem ini merupakan sistem yang akan dibangun guna mempermudah dalam menjalankan hal-hal yang berkaitan dengan kegiatan akademik di lembaga pendidikan sekolah.,sistem informasi akademik merupakan salah satu sarana yang sangat menunjang dalam dunia pendidikan sebagai suatu bentuk pemanfaatan teknologi informasi dan komunikasi.,4.5
11276,12387,"dalam penulisan secara akademik, perujukan pada sumber-sumber terpercaya seperti jurnal seringkali digunakan.",tempat publikasi dapat melalui prosiding maupun jurnal ilmiah nasional terakreditasi dan jurnal internasional bereputasi di bidangnya.,4.5
8867,15574,negara kesatuan republik indonesia (nkri) merupakan salah satu negara kepulauan dengan luas wilayah yang besar di dunia.,"indonesia dengan banyak pulaunya terbentang dari sabang sampai merauke dimana tiap daerah memiliki seni, budaya, adat istiadat yang berbeda-beda.",4.0
12846,13452,"akibatnya, penderita diabetes mellitus tipe 1 memerlukan tambahan insulin dari luar.","kegemukan atau obesitas akan meningkatkan risiko menderita penyakit diabetes militus 2, 9 kali, penyakit jantung koroner 1 – 3 kali, penyakit hipertensi 1 – 5 kali dan penyakit empedu 1 – 6 kali (kementerian kesehatan ri, 2012).",1.8
8075,3843,"1. latar belakang pengiriman aset gambar kepada orang lain melalui media online seperti e-mail yang terhubung dengan jaringan internet, menjadi hal yang riskan jika tidak diberi keamanan.","sebuah informasi yang sifatnya rahasia sangat rentan terhadap pencurian data yang semakin hari semakin berkembang, oleh karena itu sebuah informasi/data perlu diamankan dengan suatu metode yang dapat membuat data/informasi tersebut lebih aman.",4.5
24469,16633,"proses pengkajian tersebut melibatkan evaluasi terhadap fungsionalitas antar service menggunakan boundary value analysis sebagai evaluasi role based access control, performance load testing sebagai evaluasi non performa non-functional, dan service oriented testing untuk mencari tingkat coupling antar service.",tujuan penelitian ini yaitu untuk meneliti seberapa tingkat keberhasilan metode penelitiannya untuk menyelesaikan masalah yang dirumuskan di atas dengan menggunakan usability testing.,2.8
6698,1517,teknik kompresi citra tergolong menjadi dua kategori yaitu kompresi lossy dan lossless.,'implementasi algoritma dmc (dynamic markov compression) pada kompresi citra bmp',3.5
3354,5717,"tri sakti. setelah itu, penentuan prioritas layanan pengiriman data yang sesuai dengan kebutuhan cv.","untuk menyelesaikan permasalahan tersebut, diperlukan cara untuk bisa menyajikan data yang dibutuhkan oleh tingkat manajerial, keberadaan data warehouse sangatlah penting (prasetyo, 2011).",1.5
16982,3136,selain itu diharapkan dapat mengatasi masalah utama website yaitu performa load yang rendah karena terlalu banyak menampung 370 foto wayang yang memiliki berbagai ukuran.,dari kekurangan kekurangan tersebut penulis mendapatkan bahwa hal tersebut yang menjadikan tingkat penggunaan web e-class rendah di prodi lainnya.,2.5
1617,22304,'perangkat lunak bantu untuk mendiagnosa gangguan perkembangan anak dengan metode ripple down rule',dalam posyandu biasanya terdapat pencatatan data balita yang digunakan sebagai data untuk melakukan pemantauan perkembangan balita.,3.5
5013,13088,"di ukdw, pada awal semester, mahasiswa diwajibkan mengikuti agenda perwalian dimana dosen pembimbing dan mahasiswa berdiskusi tentang matakuliah yang direkomendasikan untuk semester selanjutnya.",panduan akademik membantu mahasiswa untuk memilah matakuliah yang sesuai dengan bidang minat dan dapat melihat syarat tempuh jumlah sks.,4.5
12376,10571,"salah satu masalah yang dialami lansia adalah masalah penglihatan (pramono & fanumbi, 2012).","gangguan ini terjadi ketika mata tidak dapat melihat/fokus dengan jelas pada suatu area terbuka sehingga pandangan menjadi kabur dan untuk kasus yang parah, gangguan ini dapat menjadikan visual impairment atau melemahnya penglihatan.",5.0
2645,4591,suatu graf g memiliki sebanyak k warna sehingga setiap verteks yang bertetangga tidak memiliki warna yang sama.,pewarnaan graf yang dilakukan menggunakan algoritma greedy.,4.5
5461,20983,"tidak seperti komputer, perangkat mobile memiliki beberapa batasan dalam menampilkan konten konten dalam aplikasinya.",karena perangkat mobile memiliki dimensi lebih kecil maka tata letak komponen dari antarmuka perlu disesuaikan. penyesuaian tata letak ini penting dilakukan supaya fitur atau informasi pada aplikasi dapat diakses oleh pengguna sehingga tidak ada fitur dan informasi yang dihilangkan pada saat pembuatan antarmuka aplikasi.,5.0
9106,12520,aplikasi tersebut dibuat dengan menggunakan bahasa pemrograman python.,sistem ini dibuat menggunakan aplikasi matlab.,3.5
4115,2768,perusahaan yang berfokus pada fashion dan sepatu ini berpusat di kota klaten dan terus membuka cabangnya di berbagai daerah lain.,'penerapan aggloromerative clustering untuk membantu analisis perilaku pelanggan piutang pada ritel fashion dan sepatu',2.0
11645,23145,tetapi cakupan data tentang keris yang sangat luas dan adanya keterkaitan informasi antar objek mengakibatkan kebutuhan ini belum seluruhnya teratasi dengan pemodelan struktur informasi yang sekarang ini.,"selain itu, sering terjadi ketidaksamaan dari data yang di catatan dengan jumlah barang yang sebenarnya.",3.0
5491,5765,"dengan adanya perkembangan teknologi di bidang pengolahan citra digital, penulis ingin membangun suatu aplikasi yang mengetahui jumlah mobil pada suatu lahan parkir dengan menerapkan algoritma connected component labeling dan k-nearest neighbor.",aplikasi yang melakukan image processing untuk memantau kondisi lahan parkir apakah tempat tersebut tersedia atau tidak berdasarkan kondisi terakhir lahan parkir.,5.0
14465,16139,bingung cara memilih jadwal dokter.,"seperti informasi diagnosis, dan resep yang diberikan dokter.",0.5
24358,23959,nota ini kemudian disimpan oleh pemilik toko.,dengan banyaknya stok barang yang dimiliki oleh toko kingkong pemilik toko pun terkadang mengeluh saat meminta salah satu pegawai nya untuk mengecek kembali stok barang karena setelah di cek terdapat banyak barang yang minus pada toko tersebut.,0.8
15972,10531,sekolah dan perguruan tinggi di indonesia beralih ke arah online meeting sebagai media belajar dan penyamapaian materi.,"menurut kementrian komunikasi dan informasi pembangunan situs pemerintah daerah mempunyai tujuan agar masyarakat indonesia dapat dengan mudah memperoleh akses kepada informasi dan layanan pemerintah daerah, dan ikut berpartisipasi di dalam pengembangan demokrasi di indonesia dengan menggunakan media internet dan teknologi lain yang akan muncul di kemudian hari.",0.2
2350,3868,salah satu game yang menerapkan algoritma kecerdasan buatan di dalamnya adalah pacman.,hal tersebut membuat programmer membutuhkan informasi mengenai algoritma yang akan digunakan dalam pengembangan permainan.,4.2
17684,10645,"sayangnya, semua kegiatan kewajiban tersebut masih dibuat secara manual sehingga tidak mudah untuk dilakukan pengontrolan apabila semakin banyak data yang ada.","tenaga pengajar dalam melakukan pencarian data tentang inventaris sekolah masih secara manual, dan kesulitan untuk mengolah informasi bila ingin melakukan pembaruan data, sehingga untuk melakukan kegiatan tersebut harus menggunakan waktu yang cukup lama.",4.3
7487,3773,"sehingga kedua pewarnaan tersebut bisa sebagai alat pemetaan konversi lahan persawahan di kabupaten sleman khususnya disebabkan pembangunan perumahan, pembangunan industri, pembangunan mall dan bencana alam.","berdasarkan pemaparan di atas, maka dilakukan penelitian untuk melakukan pewarnaan graf menggunakan algoritma backtracking pada sistem traffic light di kota yogyakarta, dengan tujuan melakukan optimalisasi pada algoritma tersebut sehingga dapat membantu menemukan solusi pengaturan sistem traffic lights di kota yogyakarta.",1.2
8781,16477,pengolahan data inventaris barang masih menggunakan proses manual penyajian laporan butuh waktu lama,permasalahan pencatatan manual yang dilakukan saat ini diantaranya proses pengumpulan hingga pengambilan data yang lama hingga risiko hilangnya data-data penting.,4.8
9205,6351,semenjak berkembangnya media sosial di kalangan masyarakat membuat tempat pariwisata semakin dikenal banyak orang.,industri pariwisata saat ini semakin banyak diminati.,4.3
16271,19966,dengan demikian akan membantu pencapaian tujuan pemerintah yang menjadikan pemerintahan transparan.,"berdasarkan wawancara yang dilakukan oleh antara sulsel (2017) kepada kepala dinas kominfo kabupaten toraja utara, pemerintah daerah akan berupaya untuk memaksimalkan e-government ­sebagai infrastruktur utama pelayanan publik.",2.3
18892,17851,"dalam kegiatan belajar mengajar, setiap dosen pasti memiliki rencana pembelajaran semester (rps).","selain itu, tingkat pengambilan mata kuliah tertentu oleh mahasiswa juga perlu dipertimbangkan.",1.8
5822,10019,'kajian jaringan virtual private network dengan metode remote access pada sekolah musik indonesia','program bantu pembelajaran tik kelas 4 sd bopkri gondolayu yogyakarta berbasis web',0.7
